Date Created,Tweet
2022-12-10 09:40:42+00:00,"Sebagai salah satu saham blue chip, BBRI memiliki basis investor yang kuat dan terus tumbuh.

#KinerjaBRIQ3"
2022-12-10 08:03:16+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) berhasil menjafa fundamental kinerja keungan yang positif, dengan tetap fokus pada core business di segmen UMKM, kualitas asset yang terjaga dengan prudent, serta likuiditas yang memadai. #KinerjaBRIQ3"
2022-12-10 05:23:37+00:00,"Perbankan positif!

Top Pick 
BBNI, TP Rp11.600
BBRI, TP Rp5.800
BJBR, TP Rp1.800"
2022-12-10 00:09:09+00:00,"#kafein beberapa ssham terutama market leader naiknya sudah kebanyakan, wajar saja tergerus aksi profit diantaranya : #bbca #bbri #bmri jadi wajar, hanya #asii yg berlebihan sdgkan #tlkm tergerus sentimen negatif.

Indofood yg diamw malah melesat dlm senyap."
2022-12-09 14:21:30+00:00,"PT Bank Rakyat Indonesia (Persero) Tbk. (BBRI) dan entitas anak berhasil membukukan laba bersih tahun berjalan secara konsolidasian sebesar Rp39,31 triliun sampai dengan 30 September 2022. #TransformasiBRI"
2022-12-09 11:56:08+00:00,"Laporan Keuangan BBRI (Bank BRI) 2022 Lengkap, Kuartal 1-3 https://t.co/XwzhwiOJz4"
2022-12-09 09:07:30+00:00,"Selaras dengan visi Pemerintah tersebut, PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) pun turut ambil bagian dalam mendukung ketahanan iklim melalui penyerapan emisi karbon.
#TransformasiBRI"
2022-12-09 06:58:55+00:00,"Komposisi kepemilikan saham di $BRIS pasca rights issue:
1. $BMRI 52,2%
2. $BBNI 23,87%
3. $BBRI 15,79%
Per Sep'22 CAR $BRIS ada di level 17,19%, menurun dari 22,75% YoY.
#bebipinter #bank #BI #Jumat #rightissue #BLACKPINK"
2022-12-09 06:54:54+00:00,"$BBNI memiliki 24,85% saham $BRIS akan menyerap sebagian saham baru yang diterbitkan sebanyak 500 juta saham, sedangkan $BBRI yang memiliki 17,25% saham $BRIS aksinya tidak disebutkan dalam prospektus rights issue.
#rightissue #BankSyariahIndonesia #bebipinter"
2022-12-09 06:36:00+00:00,"Bahkan hingga akhir September 2022 ini saja, total aset yang dimiliki BBRI secara konsolidasi naik menjadi Rp1.684,6 triliun. Kalau labanya terus terusan meningkat kira-kita asetnya bakal jadi sebanyak apa yaa #KinerjaBRIQ3"
