Date Created,Tweet
2022-04-02 20:19:15+00:00,"@bankmandiri menggenjot penyaluran kredit ke sektor infrastruktur. Terbaru, bank bersandi saham BMRI ini, sepakat menyalurkan kredit senilai total Rp2,3 triliun untuk membiayai pelaksanaan dua proyek infrastruktur dasar.
https://t.co/SbboJD8WfM"
2022-04-01 04:42:00+00:00,"Hari ini dividen BBRI, tgl 6 dividen BMRI
Lumayan buat beli takjil 😅"
2022-03-24 03:51:33+00:00,Dividen gede harga balik semula wakakaka thanks BMRI https://t.co/TDTWaMQ6E7
2022-03-23 07:26:36+00:00,BMRI ntaps banget dah dapat dividen skitar 3.5juta skarang harganya kembali ke asal beli wkwkwk https://t.co/yyxV4xPYFc
2022-03-17 02:17:15+00:00,Untung ya Tuhan ngga jadi beli ITMG wkwkwk kemaren dilema beli BMRI apa ITMG
2022-03-10 22:14:41+00:00,@KokoGiovanni @ChatibBasri Ada rencana apa ke depan BMRI koh?
2022-03-10 10:49:56+00:00,RUPST BMRI ngga ada perpindahan direksi dan dividennya gede uga 36rb/lot
2022-03-07 23:36:59+00:00,BBRI dividen yieldnya 4%++ BMRI berapa yaa
2022-02-12 15:41:08+00:00,"Now, lepas BMRI"
2022-01-28 02:50:27+00:00,Gua kira BMRI yg naek malah BFIN wkwkkwkw https://t.co/V32PCZkCtb
2022-01-27 16:27:55+00:00,BMRI go to 8000 pola rally base rally akan berlanjut https://t.co/BEDtalIOq6
2022-01-27 08:46:12+00:00,"BMRI GGWP
https://t.co/STLU3ce2Js"
2022-01-27 08:35:07+00:00,BBCA GGWP tinggal tunggu BMRI https://t.co/DtEx34NM9b
2022-01-26 08:09:04+00:00,BMRI breakout sideways? Kalau laporan keuangan besok rilis bakal terbang sii https://t.co/TSaFFMescO
2022-01-24 09:56:30+00:00,Trlanjur beli BMRI trnyata BBRI yang ngluarin corporate action wkwkkwkwkwkwlwl https://t.co/YnZ1rqD6Ep
2022-01-22 06:46:57+00:00,Ini salah satu disversifikasi portofolio gua selain di BFIN ADRO BMRI https://t.co/OMgJlHb8ny
2021-12-23 11:48:19+00:00,@mieiblislvl3 Kamu di bmri juga ris? Angkatan berapa e?
2021-12-05 11:55:21+00:00,"Srikandi Region BMRI
#bumnindonesia
#todaysriding https://t.co/KTGedfcbpC"
2021-11-12 06:38:11+00:00,Btw dia hanya bawa kartu ATM &amp; tdk punya PIN Pad. Sebelumnya saat di Jkt dia pernah akses ke acct tsb dg apps mobile banking BMRI yg lama
2021-11-12 06:35:17+00:00,@mandiricare Mohon petunjuk. Anak sy kerja di LN &amp; punya acct tab di BMRI. Bgm caranya spy dia bisa akses rek nya via aplikasi Livin dg gunakan no HP LN?
2021-10-19 13:02:41+00:00,"BBNI +22%
BBCA +10%
BMRI +9%

In September it was -10%"
2021-10-12 03:06:08+00:00,My luvv $BMRI
2021-09-24 00:11:18+00:00,"@rifkyology Nah ini kelewatan mau post kemaren. Utk growth FBI tertinggi urutannya :
1. BBNI 27,3%
2. BBRI 18,9%
3. BMRI 11,6%
4. BBCA -5,7%"
2021-09-23 14:35:20+00:00,"@wirawijaya9 LaR coverage ratio BMRI peringkat kedua terbaik (35,3%) dibawah BBNI (42,3%)"
2021-09-23 14:18:10+00:00,"Loan to Deposit Ratio (% posisi bkn growth)
1. BBCA 65,2%
2. BBRI 84,5%
3. BMRI 86%
4. BBNI 87,8%

Angka LDR cenderung masih pd aman &lt;90%, tp wey itu BBCA RM Lendingnya pd kagak kerja apa gimane, duit pd numpuk kaga disalurin."
2021-09-23 14:18:09+00:00,"NPL :
1. BMRI -0,2%
2. BBCA 0,3%
3. BBRI 0,3%
4. BBNI 0,9%

BMRI jd yg paling sukses menekan angka kredit bermasalah sepanjang Juni 20 s.d Juni 21."
2021-09-23 14:18:09+00:00,"Net Profit :
1. BBRI 27,7%
2. BMRI 17,1%
3. BBNI 16,2%
4. BBCA 14,5%

Dan BBRI jd bank dgn kenaikan profit paling kenceng yg disumbangkan oleh NII yg naik sangat signifikan (35,9%)"
2021-09-23 14:18:08+00:00,"DPK :
1. BBCA 17,4%
2. BMRI 8,4%
3. BBRI 6,5%
4. BBNI 4,5%

Yak ini nih yg bikin aset BBCA melejit, sudah pasti dari taun ketaun memang mrk juaranya soal DPK yg melimpah ruah."
2021-09-23 14:18:07+00:00,"Loan :
1. BMRI 6,7%
2. BBRI 5%
3. BBNI 4,5%
4. BBCA -0,4%

Ternyata bkn dr penyaluran kredit yg bikin aset BBCA naik. Malah justru drop hingga minus loan mrk. Bmri yg paling agresif ekspansi kredit gaes."
2021-09-23 14:18:06+00:00,"Total Asset :
1. BBCA 15,9%
2. BBRI 7,8%
3. BMRI 5,9%
4. BBNI 4,8%

Selama setaun terakhir BBCA paling juara soal kenaikan asetnya gaes, tp komponen aset apa yg naik tinggi? Oke lanjut."
2021-09-21 06:39:42+00:00,"Sektor transportasi dan properti menguat, saham BBRI, ASII, BBCA, BMRI, TBIG dilepas asing.. https://t.co/jJ2zNQFUWV #YukNabungETF #IPOTKaryaAnakBangsa #BanggaPakeIPOT #IPOTPionner https://t.co/BGQliEZmTh"
2021-09-17 05:39:39+00:00,"Setelah baca baca tentang right issue BBRI, langsung mo jual ELSA+BMRI buat tambah-tambah balance 🤣"
2021-09-06 14:12:07+00:00,"BBRI dgn retail dan mikronya, BMRI dgn commercial / korporat banking, BBTN fokus ke consumer (perumahan), dan BBNI yg diminta utk fokus di International Transaction Banking. Ini hanya sebatas fokus utama tp tdk menghilangkan lini bisnis yg udah ada sebelumnya."
2021-09-02 01:52:43+00:00,"We should buy
BBKP
BMRI
BDMN 
ADARO
ANTM
for today only 
😋😋😋

Money please"
2021-08-13 05:43:40+00:00,"Dalem hati gue “mon maap Bu Kacab, emang fans saya orang BMRI buanyaaak. Dari yg ghosting sampe akhirnya jadi partner wkwk”"
2021-07-30 03:35:16+00:00,"Wow ada kabar baik Perbankan BUMN, PT Bank Mandiri (Persero) Tbk (BMRI) menganggarkan belanja modal (capital expenditure/capex) senilai Rp 2 triliun untuk kebutuhan pengembangan platform digitalnya.
#MandiriInfo  #InfoMandiri  #BeritaMandiri #BankMandiri
https://t.co/9fdgdyH0cU"
2021-07-19 12:11:14+00:00,"Sambil nanti nunggu saham @gojektech saya masih hold ASII, BBNI sama BMRI. Semoga bisa beli TLKM, UNVR sama ITMG. @bnisekuritas46 @BNI @Telkomsel @Unilever"
2021-07-16 16:03:39+00:00,"Saham-saham blue chip skrg
Pergerakannya sangat lambat
Untuk investasi jangka panjang
Gw akan lepas semua saham gw
Di BBCA BBRI BMRI UNVR TLKM

IPO BUKA tidak akan dibiarkan
Gagal oleh bandar karna akan
Berpengaruh ke IPO saham GoTo

Psikologi pasar saham!
#saham #investasi"
2021-07-16 01:42:44+00:00,Share bmri gmn sik turun trs
2021-07-05 23:40:18+00:00,"@kuahcotoenak Alkisah beberapa taun lalu sempet ada wacana segmentasi bank2 bumn. BBRI mikro/retail banking, BMRI komersial/korporate banking, BBNI digital/lifestyle/consumer banking, dan BBTN perumahan.

Tapi ya akhirnya gak jd juga."
2021-05-29 04:53:47+00:00,"3 Periode harga mati

*bismillah Komut BMRI*"
2021-05-25 05:00:48+00:00,Iseng pengen buka portofolio gw. Trnyata bmri msh not good dr awal gw bwli huhu
2021-05-19 03:52:37+00:00,Gilak bmri turun drastis untung kmrn udh CL pindah ke lain malah dah nutup ruginya 😂
2021-05-10 20:45:47+00:00,@N_AlbyF @I_Aiman_L Padahal ada yang tbtb mau beli BMRI :)
2021-05-08 15:16:29+00:00,"Raditya Dika kasih 6 lot saham dan 5 lot saham buat hadiah ultah anaknya, oke aku harus bisa kasih 22 lot BBCA dan 10  lot BMRI buat hadiah ultahku sendiri 😁.. Aamiin. Semangat cuanisme."
2021-04-29 16:09:46+00:00,"@prakashdivyy wkwk bukan saham hidiv ga worth it lah, bmri tuh"
2021-04-25 11:28:27+00:00,"Karena lebaran ga dibolehin pulang, kalo dapet THR, mending buat beli saham aja ga sih? Kasih saran dong... 

$BRIS atau $BMRI?"
2021-04-05 08:54:06+00:00,"@fedikyh ASLI!!! Apakabar exdate nih 😭😭
Kmrin bmri pun gitu kan nungguin cumdate naek ehh dikit doang abis itu turun wkwk"
2021-04-04 11:53:45+00:00,@DhanaYoesril Jadi ke BBRI atau BMRI ini masnya?
2021-03-29 12:00:16+00:00,Mayan Dividennya BMRI buwt nambahin beli miband 6.... https://t.co/7XGVscyx2Y
2021-03-25 09:53:03+00:00,"Jalur Mandiri?.. ngga ada jalur BRI?.. Ok mulai besok harga saham mandiri, BMRI, bakal melonjak... 🙃🙃🙃 #candaanSore

Menteri Erick: 10,1 Juta Orang Vaksinasi Lewat Jalur Mandiri
https://t.co/JYGV2OPSJM"
2021-03-18 10:19:23+00:00,@surya_oyon Bmri mau bagi deviden wkwkkw
2021-03-14 22:49:41+00:00,"Yuuk yg mau e-book gratis ttg big bank Conve vs Digital... 👏👏👏 .  https://t.co/SysUNF7OzB 

#perbankan #digitalbanking #ebookgratis #BMRI #BBTN #ihsg #BBRI #saham  #tradingsaham #BBKP #BBCA #AGRO #ARTO #saham #analisasaham"
2021-03-12 13:32:02+00:00,"@iiwakpeyek Eh ketinggalan #bmri yaolo maap.

Kalo swasta sih biasanya ngikut."
2021-03-11 23:30:33+00:00,@werryhikmatiar BMRI
2021-03-08 08:02:17+00:00,Oi bmri 😡😡😡
2021-03-01 23:54:22+00:00,"$BMRI hidden bullish divergence, kemarin cross ma20 dgn volume lumayan besar. Ada gap di 7200 https://t.co/6LlcbPNBSh"
2021-03-01 13:30:32+00:00,$BBNI $BMRI $BBRI ?
2021-02-21 16:40:09+00:00,@soib_sltn Bmri bbni hmsp tlkm rekomendasi masuk besok ji?
2021-02-16 03:20:16+00:00,"Senen 15Feb2021
Harga komoditi terus naik
Inco antm tins masih collect buy bertahap
Jpfa sido tbla juga mulai buy bertahap
Banking masih hold
Bbri bbtn bmri bris bbni"
2021-02-13 09:14:35+00:00,"@anggasasongko @Martjelou BPJSTK

BBRI
TLKM
BBTN
ANTM
BMRI
BBNI
BBTN
SMGR
PGAS
PTBA
ANTM
TINS
WIKA
PTPP
WSKT
JSMR
KRAS
GIAA"
2021-02-12 17:33:29+00:00,"Yang jelas investasi rugi itu bukan kejahatan kalau instrumen investasinya udah tepat. Sahamnya bagus lho. BMRI ASII dst. Tapi kalau market crash mau diapain. Tungguin aja sampai pulih. Kalau dijual malah jadi kerugian alias real loss. 

Aparat masa ga ngerti saham sama sekali?"
2021-02-11 01:54:03+00:00,@werryhikmatiar BMRI jga lagi di akumulasi gan
2021-02-08 15:21:17+00:00,"No matter how small you start, always dream BIG
Senin 8Feb2021
ANTM 2830 Target 3000
INCO 6150 Target 7000
TINS 2120 Target ?

Mulai koleksi 
SIDO 785
TBLA 965
BBRI BMRI BBNI BBTN BRIS BJBR BJTM masuk bertahap...."
2021-02-07 03:03:22+00:00,"Tabungan Saham 
Jumat 5Feb2021
BBRI 4470
BMRI 6550
BBNI 6300
BBTN 1790
BRIS 2710
Always Buy bertahap
Dikit2 kelak menjadi bukit"
2021-01-29 10:02:46+00:00,bmri kemarin dijaga skrg mulai diguyur 1-1 blue chip https://t.co/bMX4mCS8mo
2021-01-29 08:31:29+00:00,Bmri😱😱😱 https://t.co/W4ufqwb1XD
